Transaction Id,Anon Student Id,Session Id,Step Duration,Level (Unit),Problem Name,Problem View,Attempt At Step,Selection,Input,KC (Default),Time,Outcome
1872f47a761edfdb4ae9ebd38125626b,Stu_000e6fce9a830b756649b290693c391c,L3d43ff7e:11f6289f14a:-7b57,29,IWT_S09explainTutorA-A,testA,1,1.0,dorminComboBox1,a,s12,2009-02-17 17:11:02.781 UTC,INCORRECT
bb051ac1b85ea57270f4cd4661f6f585,Stu_000e6fce9a830b756649b290693c391c,L3d43ff7e:11f6289f14a:-7b57,17,IWT_S09explainTutorA-A,testA,1,1.0,dorminComboBox2,a,s3,2009-02-17 17:11:19.578 UTC,CORRECT
791b2a040b3d57c25156b26bbf449ec7,Stu_000e6fce9a830b756649b290693c391c,L3d43ff7e:11f6289f14a:-7b57,42,IWT_S09explainTutorA-A,testA,1,1.0,dorminComboBox3,the,s1,2009-02-17 17:12:01.156 UTC,INCORRECT
44d14eb6efdde49dd7c32834445003ee,Stu_000e6fce9a830b756649b290693c391c,L3d43ff7e:11f6289f14a:-7b57,13,IWT_S09explainTutorA-A,testA,1,1.0,dorminComboBox4,no article,s8,2009-02-17 17:12:14.890 UTC,INCORRECT
9e8c91bfac346d8c742c37b69f850404,Stu_000e6fce9a830b756649b290693c391c,L3d43ff7e:11f6289f14a:-7b57,23,IWT_S09explainTutorA-A,testA,1,1.0,dorminComboBox5,no article,s11,2009-02-17 17:12:37.953 UTC,INCORRECT
d184df4e364f65442347cf658a015e97,Stu_000e6fce9a830b756649b290693c391c,L3d43ff7e:11f6289f14a:-7b57,21,IWT_S09explainTutorA-A,testA,1,1.0,dorminComboBox6,the,s10,2009-02-17 17:12:58.593 UTC,CORRECT
68aa2128b32c059068fd01b97b760246,Stu_000e6fce9a830b756649b290693c391c,L3d43ff7e:11f6289f14a:-7b57,20,IWT_S09explainTutorA-A,testA,1,1.0,dorminComboBox7,the,s4,2009-02-17 17:13:18.703 UTC,CORRECT
11efb42f3e11934f0dd68319cc5690f5,Stu_000e6fce9a830b756649b290693c391c,L3d43ff7e:11f6289f14a:-7b57,38,IWT_S09explainTutorA-A,testA,1,1.0,dorminComboBox8,The,s6,2009-02-17 17:13:56.203 UTC,INCORRECT
a7eda800c1b24eeddc7f5ffafae86712,Stu_000e6fce9a830b756649b290693c391c,L3d43ff7e:11f6289f14a:-7b57,22,IWT_S09explainTutorA-A,testA,1,1.0,dorminComboBox9,no article,s7,2009-02-17 17:14:18.750 UTC,INCORRECT
a852ace31b4b4ce8cc91cf225c2f88d9,Stu_000e6fce9a830b756649b290693c391c,L3d43ff7e:11f6289f14a:-7b57,20,IWT_S09explainTutorA-A,testA,1,1.0,dorminComboBox10,no article,s9,2009-02-17 17:14:38.656 UTC,INCORRECT
c01e057d53909879027b1057c3d1c577,Stu_000e6fce9a830b756649b290693c391c,L3d43ff7e:11f6289f14a:-7b57,12,IWT_S09explainTutorA-A,testA,1,1.0,dorminComboBox11,The,s2,2009-02-17 17:14:50.484 UTC,INCORRECT
65ccf61804e983a1fef90ddb2e33361d,Stu_000e6fce9a830b756649b290693c391c,L3d43ff7e:11f6289f14a:-7b57,27,IWT_S09explainTutorA-A,testA,1,1.0,dorminComboBox12,a,s5,2009-02-17 17:15:17.515 UTC,CORRECT
9aef0c5cc828b7ebc8fe54da9abe8392,Stu_000e6fce9a830b756649b290693c391c,L3d43ff7e:11f6289f14a:-7b57,27,IWT_S09explainTutorA-A,testA,1,2.0,dorminComboBox9,the,s7,2009-02-17 17:15:44.406 UTC,CORRECT
ae4cfd50087a11ec4a0a3fa89322d0a0,Stu_000e6fce9a830b756649b290693c391c,L3d43ff7e:11f6289f14a:-7b31,86,IWT_S09explainTutorA-A,testA-explain,1,1.0,dorminComboBox13,The noun is a single letter or numbers,s2,2009-02-17 17:18:11.921 UTC,INCORRECT
