Transaction Id,Anon Student Id,Session Id,Step Duration,Level (Unit),Problem Name,Problem View,Attempt At Step,Selection,Input,KC (Default),New Date,New Time,Sex,Age,Problem Duration,Total Duration,Problem PC,Total PC,Step Order,Outcome
1872f47a761edfdb4ae9ebd38125626b,Stu_000e6fce9a830b756649b290693c391c,L3d43ff7e:11f6289f14a:-7b57,29.0,IWT_S09explainTutorA-A,testA,1,1.0,dorminComboBox1,a,s12,2009-02-17 00:00:00,2018-08-22 17:11:00,Male,42.0,29.0,29.0,0.0,0.0,First,INCORRECT
bb051ac1b85ea57270f4cd4661f6f585,Stu_000e6fce9a830b756649b290693c391c,L3d43ff7e:11f6289f14a:-7b57,17.0,IWT_S09explainTutorA-A,testA,1,1.0,dorminComboBox2,a,s3,2009-02-17 00:00:00,2018-08-22 17:11:00,Male,42.0,46.0,46.0,0.5,0.5,Next,CORRECT
791b2a040b3d57c25156b26bbf449ec7,Stu_000e6fce9a830b756649b290693c391c,L3d43ff7e:11f6289f14a:-7b57,42.0,IWT_S09explainTutorA-A,testA,1,1.0,dorminComboBox3,the,s1,2009-02-17 00:00:00,2018-08-22 17:12:00,Male,42.0,88.0,88.0,0.3333333333333333,0.3333333333333333,Next,INCORRECT
44d14eb6efdde49dd7c32834445003ee,Stu_000e6fce9a830b756649b290693c391c,L3d43ff7e:11f6289f14a:-7b57,13.0,IWT_S09explainTutorA-A,testA,1,1.0,dorminComboBox4,no article,s8,2009-02-17 00:00:00,2018-08-22 17:12:00,Male,42.0,101.0,101.0,0.25,0.25,Next,INCORRECT
9e8c91bfac346d8c742c37b69f850404,Stu_000e6fce9a830b756649b290693c391c,L3d43ff7e:11f6289f14a:-7b57,23.0,IWT_S09explainTutorA-A,testA,1,1.0,dorminComboBox5,no article,s11,2009-02-17 00:00:00,2018-08-22 17:12:00,Male,42.0,124.0,124.0,0.2,0.2,Next,INCORRECT
d184df4e364f65442347cf658a015e97,Stu_000e6fce9a830b756649b290693c391c,L3d43ff7e:11f6289f14a:-7b57,21.0,IWT_S09explainTutorA-A,testA,1,1.0,dorminComboBox6,the,s10,2009-02-17 00:00:00,2018-08-22 17:12:00,Male,42.0,145.0,145.0,0.3333333333333333,0.3333333333333333,Next,CORRECT
68aa2128b32c059068fd01b97b760246,Stu_000e6fce9a830b756649b290693c391c,L3d43ff7e:11f6289f14a:-7b57,20.0,IWT_S09explainTutorA-A,testA,1,1.0,dorminComboBox7,the,s4,2009-02-17 00:00:00,2018-08-22 17:13:00,Male,42.0,165.0,165.0,0.42857142857142855,0.42857142857142855,Next,CORRECT
11efb42f3e11934f0dd68319cc5690f5,Stu_000e6fce9a830b756649b290693c391c,L3d43ff7e:11f6289f14a:-7b57,38.0,IWT_S09explainTutorA-A,testA,1,1.0,dorminComboBox8,The,s6,2009-02-17 00:00:00,2018-08-22 17:13:00,Male,42.0,203.0,203.0,0.375,0.375,Next,INCORRECT
a7eda800c1b24eeddc7f5ffafae86712,Stu_000e6fce9a830b756649b290693c391c,L3d43ff7e:11f6289f14a:-7b57,22.0,IWT_S09explainTutorA-A,testA,1,1.0,dorminComboBox9,no article,s7,2009-02-17 00:00:00,2018-08-22 17:14:00,Male,42.0,225.0,225.0,0.3333333333333333,0.3333333333333333,Next,INCORRECT
a852ace31b4b4ce8cc91cf225c2f88d9,Stu_000e6fce9a830b756649b290693c391c,L3d43ff7e:11f6289f14a:-7b57,20.0,IWT_S09explainTutorA-A,testA,1,1.0,dorminComboBox10,no article,s9,2009-02-17 00:00:00,2018-08-22 17:14:00,Male,42.0,245.0,245.0,0.3,0.3,Next,INCORRECT
